PT203;FT201;P005_SPT_Porc
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.174;0.84;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.175;0.839;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.174;0.841;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.842;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.173;0.84;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
3.174;0.842;57.97101449
